renter_id,property_id,balance_due,last_payment_date,status,message
10000,U100,,,SKIPPED,Invalid balance
10001,U101,1130.5,2023-09-27,SUCCESS,HTTP 200
10002,U102,1440.36,2023-12-19,SUCCESS,HTTP 200
10003,U103,1878.46,2023-06-14,SUCCESS,HTTP 200
10004,U104,2842.44,2023-07-28,SUCCESS,HTTP 200
10005,U105,105.75,2023-06-04,SUCCESS,HTTP 200
10006,U106,2511.33,2023-10-20,SUCCESS,HTTP 200
10007,U107,70.83,2023-10-27,SUCCESS,HTTP 200
10008,U108,2442.44,2024-03-01,SUCCESS,HTTP 200
10009,U109,1452.87,2023-05-24,SUCCESS,HTTP 200
10010,U100,,,SKIPPED,Invalid balance
10011,U101,321.17,2023-06-30,SUCCESS,HTTP 200
10012,U102,5.35,2023-11-06,SUCCESS,HTTP 200
10013,U103,0,,SUCCESS,HTTP 200
10014,U104,1180.86,2023-12-16,SUCCESS,HTTP 200
10015,U105,1299.68,2023-08-28,SUCCESS,HTTP 200
10016,U106,255.06,2023-09-29,SUCCESS,HTTP 200
10017,U107,1441.52,2023-12-12,SUCCESS,HTTP 200
10018,U108,1630.49,2023-06-26,SUCCESS,HTTP 200
10019,U109,1359.1,2024-03-28,SUCCESS,HTTP 200
10020,U100,,,SKIPPED,Invalid balance
10021,U101,973.2,2024-02-04,SUCCESS,HTTP 200
10022,U102,2401.57,2023-06-28,SUCCESS,HTTP 200
10023,U103,0,2023-11-23,SUCCESS,HTTP 200
10024,U104,2024.98,2023-06-21,SUCCESS,HTTP 200
10025,U105,1697.79,2023-05-23,SUCCESS,HTTP 200
10026,U106,1527.53,2024-02-08,SUCCESS,HTTP 200
10027,U107,1879.35,2023-08-22,SUCCESS,HTTP 200
,U108,949.94,2023-09-27,SKIPPED,Missing renter_id or property_id
10029,U109,1750.17,2024-03-01,SUCCESS,HTTP 200
10030,U100,,,SKIPPED,Invalid balance
10031,U101,1712.91,2023-06-15,SUCCESS,HTTP 200
10032,U102,2737.49,2023-09-22,SUCCESS,HTTP 200
10033,U103,0,2023-05-27,SUCCESS,HTTP 200
10034,U104,2012.91,2024-01-27,SUCCESS,HTTP 200
10035,U105,1696.6,2023-12-15,SUCCESS,HTTP 200
10036,U106,2663.13,2023-07-14,SUCCESS,HTTP 200
10037,U107,2213.49,2023-09-20,SUCCESS,HTTP 200
10038,U108,2754.91,2023-09-16,SUCCESS,HTTP 200
10039,U109,1874.45,2024-01-28,SUCCESS,HTTP 200
10040,U100,,,SKIPPED,Invalid balance
10041,U101,1242.34,2024-02-16,SUCCESS,HTTP 200
10042,U102,2323.06,2023-07-23,SUCCESS,HTTP 200
10043,U103,0,,SUCCESS,HTTP 200
10044,U104,211.78,2023-07-15,SUCCESS,HTTP 200
10045,U105,2291.98,2023-08-12,SUCCESS,HTTP 200
10046,U106,1262.25,2024-01-04,SUCCESS,HTTP 200
10047,U107,1666.63,2023-07-21,SUCCESS,HTTP 200
10048,U108,1610.94,2024-02-06,SUCCESS,HTTP 200
10049,U109,2329.6,2023-06-23,SUCCESS,HTTP 200
